.....sss..............                                                   [100%]
19 passed, 3 skipped in 4.94s
lines   cov%   module   (path)
   99   100%   fastapi.openapi.utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/openapi/utils.py)
 1141   100%   fastapi.param_functions   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/param_functions.py)
  427   100%   fastapi.params   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/params.py)
    2   100%   fastapi.requests   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/requests.py)
   22   100%   fastapi.responses   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/responses.py)
 1270   100%   fastapi.routing   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/routing.py)
   15   100%   fastapi.security.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/security/__init__.py)
   71   100%   fastapi.security.api_key   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/security/api_key.py)
    4   100%   fastapi.security.base   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/security/base.py)
  104   100%   fastapi.security.http   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/security/http.py)
  177   100%   fastapi.security.oauth2   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/security/oauth2.py)
   30   100%   fastapi.security.open_id_connect_url   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/security/open_id_connect_url.py)
    4   100%   fastapi.security.utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/security/utils.py)
    1   100%   fastapi.testclient   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/testclient.py)
    8   100%   fastapi.types   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/types.py)
   40   100%   fastapi.utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/utils.py)
